instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange,clean_symbol
NSE_EQ|INE406A01037,275,AUROPHARMA,AUROBINDO PHARMA LTD,1145.6,,,0.1,1.0,EQUITY,,NSE_EQ,AUROPHARMA
NSE_EQ|INE387A01021,3345,SUNDRMFAST,SUNDRAM FASTENERS LTD,926.05,,,0.05,1.0,EQUITY,,NSE_EQ,SUNDRMFAST
NSE_EQ|INE101A01026,2031,M&M,MAHINDRA & MAHINDRA LTD,3533.4,,,0.1,1.0,EQUITY,,NSE_EQ,M&M
NSE_EQ|INE208A01029,212,ASHOKLEY,ASHOK LEYLAND LTD,204.63,,,0.01,1.0,EQUITY,,NSE_EQ,ASHOKLEY
NSE_EQ|INE303R01014,2955,KALYANKJIL,KALYAN JEWELLERS IND LTD,418.05,,,0.05,1.0,EQUITY,,NSE_EQ,KALYANKJIL
NSE_EQ|INE148O01028,9599,DELHIVERY,DELHIVERY LIMITED,420.55,,,0.05,1.0,EQUITY,,NSE_EQ,DELHIVERY
NSE_EQ|INE331A01037,2043,RAMCOCEM,THE RAMCO CEMENTS LIMITED,1144.7,,,0.1,1.0,EQUITY,,NSE_EQ,RAMCOCEM
NSE_EQ|INE090A01021,4963,ICICIBANK,ICICI BANK LTD.,1414.6,,,0.1,1.0,EQUITY,,NSE_EQ,ICICIBANK
NSE_EQ|INE472A01039,8311,BLUESTARCO,BLUE STAR LIMITED,1997.2,,,0.1,1.0,EQUITY,,NSE_EQ,BLUESTARCO
NSE_EQ|INE628A01036,11287,UPL,UPL LIMITED,724.3,,,0.05,1.0,EQUITY,,NSE_EQ,UPL
NSE_EQ|INE159A01016,1153,GLAXO,GLAXOSMITHKLINE PHARMA LT,2594.4,,,0.1,1.0,EQUITY,,NSE_EQ,GLAXO
NSE_EQ|INE787D01026,335,BALKRISIND,BALKRISHNA IND. LTD,2611.8,,,0.1,1.0,EQUITY,,NSE_EQ,BALKRISIND
NSE_EQ|INE040H01021,12018,SUZLON,SUZLON ENERGY LIMITED,45.67,,,0.01,1.0,EQUITY,,NSE_EQ,SUZLON
NSE_EQ|INE09XN01023,24715,AKUMS,AKUMS DRUGS AND PHARMA L,451.35,,,0.05,1.0,EQUITY,,NSE_EQ,AKUMS
NSE_EQ|INE018A01030,11483,LT,LARSEN & TOUBRO LTD.,4173.9,,,0.1,1.0,EQUITY,,NSE_EQ,LT
NSE_EQ|INE999A01023,1949,KSB,KSB LIMITED,709.65,,,0.05,1.0,EQUITY,,NSE_EQ,KSB
NSE_EQ|INE092T01019,11184,IDFCFIRSTB,IDFC FIRST BANK LIMITED,81.54,,,0.01,1.0,EQUITY,,NSE_EQ,IDFCFIRSTB
NSE_EQ|INE700A01033,3637,JUBLPHARMA,JUBILANT PHARMOVA LTD,913.0,,,0.05,1.0,EQUITY,,NSE_EQ,JUBLPHARMA
NSE_EQ|INE347G01014,11351,PETRONET,PETRONET LNG LIMITED,290.4,,,0.05,1.0,EQUITY,,NSE_EQ,PETRONET
NSE_EQ|INE103A01014,2283,MRPL,MRPL,185.6,,,0.01,1.0,EQUITY,,NSE_EQ,MRPL
NSE_EQ|INE067A01029,760,CGPOWER,CG POWER AND IND SOL LTD,680.15,,,0.05,1.0,EQUITY,,NSE_EQ,CGPOWER
NSE_EQ|INE438A01022,163,APOLLOTYRE,APOLLO TYRES LTD,489.65,,,0.05,1.0,EQUITY,,NSE_EQ,APOLLOTYRE
NSE_EQ|INE260D01016,10637,OLECTRA,OLECTRA GREENTECH LIMITED,1020.9,,,0.1,1.0,EQUITY,,NSE_EQ,OLECTRA
NSE_EQ|INE794A01010,2406,NEULANDLAB,NEULAND LAB LTD.,13056.0,,,1.0,1.0,EQUITY,,NSE_EQ,NEULANDLAB
NSE_EQ|INE423A01024,25,ADANIENT,ADANI ENTERPRISES LIMITED,2136.6,,,0.1,1.0,EQUITY,,NSE_EQ,ADANIENT
NSE_EQ|INE14LE01019,756843,ABLBL,ADITYA BIRLA LIFES BRAN L,112.67,,,0.01,1.0,EQUITY,,NSE_EQ,ABLBL
NSE_EQ|INE259A01022,15141,COLPAL,COLGATE PALMOLIVE LTD.,2122.2,,,0.1,1.0,EQUITY,,NSE_EQ,COLPAL
NSE_EQ|INE07Y701011,18457,POWERINDIA,HITACHI ENERGY INDIA LTD,22418.0,,,1.0,1.0,EQUITY,,NSE_EQ,POWERINDIA
NSE_EQ|INE765G01017,21770,ICICIGI,ICICI LOMBARD GIC LIMITED,1916.1,,,0.1,1.0,EQUITY,,NSE_EQ,ICICIGI
